Movie_id,Movie_Name,Storyline,Budget,Language,Revenue,Image,Rating,Genre1,Genre2,Genre3,Cast1,Cast2,Cast3
597,The Exorcist,"12-year-old Regan MacNeil begins to adapt an explicit new personality as strange events befall the local area of Georgetown. Her mother becomes torn between science and superstition in a desperate bid to save her daughter, and ultimately turns to her last hope: Father Damien Karras, a troubled priest who is struggling with his own faith.",11000000,English,441306145,https://image.tmdb.org/t/p/w220_and_h330_face/4ucLGcXVVSVnsfkGtbLY4XAius8.jpg,77,Horror,unknown,unknown,Ellen Burstyn,Linda Blair,Max von Sydow
598,Dinosaur Hotel,"Sienna is desperate to win a large cash prize in a secret underground game show. However, Dinosaur's begin to hunt her down for the entertainment of the rich and wealthy. Can she be the last to survive the horrific night to win the prize?",0,English,0,https://image.tmdb.org/t/p/w220_and_h330_face/qISzj26R3LnsChQcXQKnuyxQQhK.jpg,53,Horror,Science Fiction,Mystery,Chelsea Greenwood,Aimee Marie Higham,Alexander John
599,Snoopy Presents: For Auld Lang Syne,"After finding out her grandmother won't be visiting for Christmas, Lucy decides to cheer herself up by throwing the ultimate New Year's Eve party. Meanwhile, Charlie Brown tries to fulfill one of his resolutions before the clock strikes midnight.",0,English,0,https://image.tmdb.org/t/p/w220_and_h330_face/p0ONYt2cw0vPEnZIoOHq1Ki7Ifm.jpg,74,Animation,Family,unknown,Etienne Kellici,Isabella Leo,Wyatt White
600,Barbie: Princess Charm School,"Barbie stars as Blair Willows, a kind-hearted girl who is chosen to attend Princess Charm School: a magical, modern place that teaches dancing, how to have tea parties, and proper princess manners. Blair loves her classes -- as well as the helpful magical sprites and her new friends, Princesses Hadley and Isla. But when royal teacher Dame Devin discovers that Blair looks a lot like the kingdom’s missing princess, she turns Blair’s world upside down to stop her from claiming the throne. Now Blair, Hadley and Delancy must find an enchanted crown to prove Blair’s true identity in this charming and magical princess story!",0,English,0,https://image.tmdb.org/t/p/w220_and_h330_face/lI2jPbssax6XX5vDqB9mTJHGzfH.jpg,74,Family,Animation,Fantasy,Diana Kaarina,Morwenna Banks,Nicole Oliver
601,Benny Loves You,"Jack, a man desperate to improve his life, throws away his beloved childhood plush, Benny. It’s a move that has disastrous consequences when Benny springs to life with deadly intentions!",10000,English,0,https://image.tmdb.org/t/p/w220_and_h330_face/3RE9DNBCvuso5OPZPg71ryntNjx.jpg,63,Horror,Comedy,unknown,Karl Holt,Claire Catwright,George Collie
602,Transformers: The Last Knight,"Autobots and Decepticons are at war, with humans on the sidelines. Optimus Prime is gone. The key to saving our future lies buried in the secrets of the past, in the hidden history of Transformers on Earth.",217000000,English,605425157,https://image.tmdb.org/t/p/w220_and_h330_face/s5HQf2Gb3lIO2cRcFwNL9sn1o1o.jpg,61,Action,Adventure,Science Fiction,Mark Wahlberg,Josh Duhamel,Stanley Tucci
603,Spirit: Stallion of the Cimarron,"As a wild stallion travels across the frontiers of the Old West, he befriends a young human and finds true love with a mare.",80000000,English,122563539,https://image.tmdb.org/t/p/w220_and_h330_face/rXhd4p6tHlgYHqRtn1wdrA2EZwQ.jpg,77,Western,Animation,Adventure,Matt Damon,James Cromwell,Charles Napier
604,Ice Age: Collision Course,"Set after the events of Continental Drift, Scrat's epic pursuit of his elusive acorn catapults him outside of Earth, where he accidentally sets off a series of cosmic events that transform and threaten the planet. To save themselves from peril, Manny, Sid, Diego, and the rest of the herd leave their home and embark on a quest full of thrills and spills, highs and lows, laughter and adventure while traveling to exotic new lands and locations.",105000000,English,408579038,https://image.tmdb.org/t/p/w220_and_h330_face/1f2NVAAemkBGqZUOz5YePHuwz9O.jpg,61,Adventure,Animation,Family,Ray Romano,John Leguizamo,Denis Leary
605,Butchers,"A family of sadistic butchers lives deep inside the backcountry. From the dead of winter to the dog days of summer, anyone who crosses their path is dead meat.",0,English,0,https://image.tmdb.org/t/p/w220_and_h330_face/xLbuMxKORru3oTlItLBWpI5WJxR.jpg,49,Horror,unknown,unknown,Simon Phillips,Michael Swatton,Julie Mainville
607,Ralph Breaks the Internet,"Video game bad guy Ralph and fellow misfit Vanellope von Schweetz must risk it all by traveling to the World Wide Web in search of a replacement part to save Vanellope's video game, Sugar Rush. In way over their heads, Ralph and Vanellope rely on the citizens of the internet — the netizens — to help navigate their way, including an entrepreneur named Yesss, who is the head algorithm and the heart and soul of trend-making site BuzzzTube.",175000000,English,529221154,https://image.tmdb.org/t/p/w220_and_h330_face/44cb3fCGKUaSxxIjI2ejrgeYfye.jpg,72,Family,Animation,Comedy,John C. Reilly,Sarah Silverman,Gal Gadot
608,Chaos Walking,"Two unlikely companions embark on a perilous adventure through the badlands of an unexplored planet as they try to escape a dangerous and disorienting reality, where all inner thoughts are seen and heard by everyone.",125000000,English,26943020,https://image.tmdb.org/t/p/w220_and_h330_face/9kg73Mg8WJKlB9Y2SAJzeDKAnuB.jpg,67,Science Fiction,unknown,unknown,Daisy Ridley,Tom Holland,Mads Mikkelsen
609,Outside the Wire,"In the near future, a drone pilot is sent into a deadly militarized zone and must work with an android officer to locate a doomsday device.",0,English,0,https://image.tmdb.org/t/p/w220_and_h330_face/6XYLiMxHAaCsoyrVo38LBWMw2p8.jpg,64,Thriller,Action,Science Fiction,Anthony Mackie,Damson Idris,Enzo Cilenti
