Language,Cast1,Cast2,Cast3,Genre1,Genre2,Genre3,Movie_Name,comb
English,Kelly Sheridan,Roger Monk,Garry Chalk,Animation,Family,Comedy,Barbie as The Princess & the Pauper,Barbie as The Princess & the Pauper English Kelly Sheridan Roger Monk Garry Chalk Animation Family Comedy
English,Anna Kendrick,Justin Timberlake,Ron Funches,Family,Animation,Comedy,Trolls World Tour,Trolls World Tour English Anna Kendrick Justin Timberlake Ron Funches Family Animation Comedy
English,Shawn Wayans,Marlon Wayans,Tracey Cherelle Jones,Comedy,unknown,unknown,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,Don't Be a Menace to South Central While Drinking Your Juice in the Hood English Shawn Wayans Marlon Wayans Tracey Cherelle Jones Comedy unknown unknown
English,Lenny Henry,Patsy Ferran,Daniel Ings,Animation,Family,unknown,Zog and the Flying Doctors,Zog and the Flying Doctors English Lenny Henry Patsy Ferran Daniel Ings Animation Family unknown
English,Stephanie Sigman,Talitha Bateman,Lulu Wilson,Horror,Mystery,Thriller,Annabelle: Creation,Annabelle: Creation English Stephanie Sigman Talitha Bateman Lulu Wilson Horror Mystery Thriller
English,Adam Sandler,Andy Samberg,Selena Gomez,Animation,Comedy,Family,Hotel Transylvania,Hotel Transylvania English Adam Sandler Andy Samberg Selena Gomez Animation Comedy Family
English,Mick Blue,Renee Pornero,Fabian Burstein,Documentary,unknown,unknown,Porno Unplugged,Porno Unplugged English Mick Blue Renee Pornero Fabian Burstein Documentary unknown unknown
English,Adam Sandler,Kevin James,Michelle Monaghan,Action,Comedy,Science Fiction,Pixels,Pixels English Adam Sandler Kevin James Michelle Monaghan Action Comedy Science Fiction
English,Dove Cameron,Cameron Boyce,Booboo Stewart,Family,Music,Adventure,Descendants,Descendants English Dove Cameron Cameron Boyce Booboo Stewart Family Music Adventure
English,Andrew Jacobs,Jorge Diaz,Gabrielle Walsh,Horror,Thriller,unknown,Paranormal Activity: The Marked Ones,Paranormal Activity: The Marked Ones English Andrew Jacobs Jorge Diaz Gabrielle Walsh Horror Thriller unknown
English,Abi Casson Thompson,Arthur Boan,Amanda-Jade Tyler,Horror,Science Fiction,unknown,Rise of the Mummy,Rise of the Mummy English Abi Casson Thompson Arthur Boan Amanda-Jade Tyler Horror Science Fiction unknown
English,Liam Neeson,Dermot Mulroney,Frank Grillo,Drama,Thriller,Action,The Grey,The Grey English Liam Neeson Dermot Mulroney Frank Grillo Drama Thriller Action
Japanese,Junko Takeuchi,Noriaki Sugiyama,Chie Nakamura,Fantasy,Animation,Action,Naruto Shippuden the Movie: Bonds,Naruto Shippuden the Movie: Bonds Japanese Junko Takeuchi Noriaki Sugiyama Chie Nakamura Fantasy Animation Action
English,Ansel Elgort,Kevin Spacey,Lily James,Action,Crime,unknown,Baby Driver,Baby Driver English Ansel Elgort Kevin Spacey Lily James Action Crime unknown
English,Steve Howey,Diora Baird,Leslie Nielsen,Comedy,Horror,unknown,Stan Helsing,Stan Helsing English Steve Howey Diora Baird Leslie Nielsen Comedy Horror unknown
English,Alexa PenaVega,Daryl Sabara,Antonio Banderas,Action,Comedy,Family,Spy Kids,Spy Kids English Alexa PenaVega Daryl Sabara Antonio Banderas Action Comedy Family
